Name,Price,Picture
farmadiet Hepatosil para Gato y Perro -10kg (30 Comprimidos),20.22,h
farmadiet Hepatosil para Perro +10 Kg 200/20 (30 Comprimidos),27.50,h
farmadiet Hepatosil Plus para Perro y Gato (30 Comprimidos),21.41,https://www.petsonic.com/28952-large_default/hepatosil-plus-para-perro-gato.jpg
farmadiet Hepatosil Plus para Perro y Gato (60 Comprimidos),36.50,https://www.petsonic.com/28952-large_default/hepatosil-plus-para-perro-gato.jpg
Vetnova Adiva Hepátic para Gato (60 Comprimidos),30.50,h
JTPharma Hepato Pharma para Perro y Gato (60 Comprimidos),19.71,https://www.petsonic.com/15548-large_default/hepato-pharma-para-perro-gato.jpg
JTPharma Hepato Pharma para Perro y Gato (300 Comprimidos),75.03,https://www.petsonic.com/15548-large_default/hepato-pharma-para-perro-gato.jpg
JTPharma Hepato Pharma Same Solución para Perro y Gato (55 ml),35.57,h
Silycure Protector hepatico perros y gatos (60 Comprimidos - 40 mg),23.91,https://www.petsonic.com/25126-large_default/silycure-protector-hepatico-perros-y-gatos.jpg
Silycure Protector hepatico perros y gatos (30 Comprimidos - 160 mg),35.14,https://www.petsonic.com/25126-large_default/silycure-protector-hepatico-perros-y-gatos.jpg
